BUYER_STATE,YEAR,MME,population,MME_per_capita,Period,Years_from_Policy_Change
CA,2006,11982680116.987112,42087198,284.7108072385126,Pre-Policy,-4
CA,2007,13506783319.344189,42359426,318.86133960701426,Pre-Policy,-3
CA,2008,15118972883.46085,42766702,353.52206685146894,Pre-Policy,-2
CA,2009,16726568695.403063,43177672,387.3893130552074,Pre-Policy,-1
CA,2010,17182644899.252586,43585752,394.22618885301296,Post-Policy,0
CA,2011,18397322385.27733,43958225,418.51831790927247,Post-Policy,1
CA,2012,18815740491.552227,44330365,424.443617632118,Post-Policy,2
CA,2013,17953916736.5931,44690132,401.74230715167954,Post-Policy,3
CA,2014,17135508898.808977,45074181,380.1624015932531,Post-Policy,4
CA,2015,16496339834.454,45444088,363.0029902779433,Post-Policy,5
CA,2016,15158458102.35685,45735840,331.43499938684516,Post-Policy,6
CA,2017,13276047661.0359,45953538,288.9015348728078,Post-Policy,7
CA,2018,11083560733.8738,46079510,240.5312194915658,Post-Policy,8
CA,2019,9201458915.3514,46084558,199.6646884483822,Post-Policy,9
FL,2006,22575998417.6331,44239529,510.3128113690609,Pre-Policy,-4
FL,2007,25946501903.727375,44595246,581.8221499154276,Pre-Policy,-3
FL,2008,32332318140.12485,44941189,719.4361978301208,Pre-Policy,-2
FL,2009,41590888806.824234,45267439,918.7815729276011,Pre-Policy,-1
FL,2010,55625639983.969086,45621479,1219.2862047275821,Post-Policy,0
FL,2011,46911939895.481735,45964730,1020.6073199055392,Post-Policy,1
FL,2012,31245581567.47605,46331980,674.3847676588838,Post-Policy,2
FL,2013,24948358788.183113,46712377,534.0845486878801,Post-Policy,3
FL,2014,24172086580.11075,47134603,512.8310209828383,Post-Policy,4
FL,2015,23865338172.102,47608195,501.2863472791187,Post-Policy,5
FL,2016,24355606618.7856,48139466,505.93844598911005,Post-Policy,6
FL,2017,24014197268.71455,48617821,493.93816454082855,Post-Policy,7
FL,2018,20907307910.77275,48989128,426.7744449497601,Post-Policy,8
FL,2019,19005512511.73275,49289790,385.5872080553143,Post-Policy,9
NC,2006,7353826881.999238,37639753,195.37394100325892,Pre-Policy,-6
NC,2007,8224214522.268875,38099091,215.86379901475536,Pre-Policy,-5
NC,2008,8896144141.590038,38528864,230.89557329253304,Pre-Policy,-4
NC,2009,10298542654.112888,38889889,264.81285801851703,Pre-Policy,-3
NC,2010,11020869091.347075,39229903,280.93031714473204,Pre-Policy,-2
NC,2011,12183883944.879263,39521607,308.28412278071744,Pre-Policy,-1
NC,2012,13172045286.590662,39831845,330.6913171255477,Post-Policy,0
NC,2013,13511849512.818562,40127447,336.723378210893,Post-Policy,1
NC,2014,13665365697.310762,40455509,337.78751114738816,Post-Policy,2
NC,2015,13820770064.9877,40802270,338.72551857991476,Post-Policy,3
NC,2016,13112245869.27285,41195686,318.29172280983136,Post-Policy,4
NC,2017,11723126429.16045,42179172,277.9363812348059,Post-Policy,5
NC,2018,10058331413.8341,42517637,236.56844837905976,Post-Policy,6
NC,2019,9867273905.847,42800348,230.5419083472639,Post-Policy,7
NY,2006,11988571965.832588,48563492,246.86387803069408,Pre-Policy,-1
NY,2007,13658317362.16765,48781716,279.9884563750822,Post-Policy,0
NY,2008,15404669009.188587,49058819,314.0040735425895,Post-Policy,1
NY,2009,17459961217.60605,49363548,353.701504956776,Post-Policy,2
NY,2010,19377847323.324512,49660016,390.21025130810494,Post-Policy,3
NY,2011,20141013741.784164,49958060,403.15844413862675,Post-Policy,4
NY,2012,20047110958.149723,50240267,399.0247694772347,Post-Policy,5
NY,2013,18883793623.988323,50465076,374.19528752891057,Post-Policy,6
NY,2014,18818460294.80449,50677504,371.3375523546797,Post-Policy,7
NY,2015,19353910425.0579,50873444,380.4324791743586,Post-Policy,8
NY,2016,18115526084.21355,49508240,365.9093129590862,Post-Policy,9
NY,2017,15693116892.8406,51218691,306.39433742733877,Post-Policy,10
NY,2018,13301693167.43745,49752301,267.3583512737923,Post-Policy,11
NY,2019,11360605016.4375,49779779,228.21726501512794,Post-Policy,12
TX,2006,12350036052.77755,60269424,204.91378933333675,Pre-Policy,-1
TX,2007,14471837677.3577,61120195,236.7766934866242,Post-Policy,0
TX,2008,14247390543.469664,61850739,230.351177266769,Post-Policy,1
TX,2009,14905253603.238338,62657352,237.88515038487964,Post-Policy,2
TX,2010,15993943549.605038,63483297,251.93939674565166,Post-Policy,3
TX,2011,16870258477.1271,64217686,262.7042412759485,Post-Policy,4
TX,2012,16617600485.782688,64954627,255.83397601194275,Post-Policy,5
TX,2013,16339590954.3423,65549487,249.27107292757762,Post-Policy,6
TX,2014,15616852032.080513,66224588,235.81652228746992,Post-Policy,7
TX,2015,13096035219.7167,66996412,195.47368028778465,Post-Policy,8
TX,2016,12677499062.711401,67765008,187.08031529652297,Post-Policy,9
TX,2017,12008692400.89695,68388293,175.5957324581409,Post-Policy,10
TX,2018,10703724537.6231,69054248,155.00457752610816,Post-Policy,11
TX,2019,9365919190.2912,69631208,134.50749253540454,Post-Policy,12
WA,2006,6508745797.124337,17697058,367.7868828324085,Pre-Policy,-6
WA,2007,7741472699.600812,17952841,431.2115669938152,Pre-Policy,-5
WA,2008,9336929543.059074,18194793,513.1649226819494,Pre-Policy,-4
WA,2009,8602548690.444187,18409895,467.27853094459186,Pre-Policy,-3
WA,2010,8551416403.27725,18566381,460.58606700343216,Pre-Policy,-2
WA,2011,8466735654.300301,18717696,452.3385599541899,Pre-Policy,-1
WA,2012,8265846710.6907,18877659,437.8639698222486,Post-Policy,0
WA,2013,8199915238.192349,19043976,430.5779023346989,Post-Policy,1
WA,2014,8512699708.658625,19243621,442.36475602271656,Post-Policy,2
WA,2015,8790339919.0653,19471048,451.45694875105335,Post-Policy,3
WA,2016,8486806128.8817,19713937,430.4977807772085,Post-Policy,4
WA,2017,7730112158.43105,19958484,387.3095851584244,Post-Policy,5
WA,2018,6550990319.9079,20156489,325.00651873984106,Post-Policy,6
WA,2019,5717393971.4166,20339117,281.10335229482183,Post-Policy,7
